english|french
black eye bethel|Œil au beurre noir Bethel
black golem|Golem noir
black guard|Garde noir
black guard berserker|Garde noir berserker
black heather|Bruyère noire
black jaguar|Jaguar noir
black knight|Chevalier noir
black knight captain|Capitaine chevalier noir
black knight titan|Chevalier noir titan
black salamander|Salamandre noire
black swan|Cygne noir
black unicorn|Licorne noire
black unicorn foal|Poulain licorne noire
black warlock|Sorcier noir
blackjack seller|Vendeur de blackjack
blacksmith|Forgeron
blaec|Blaec
blair|Blair
blandebir|Blandebir
blanin|Blanin
blasidar the sculptor|Blasidar le sculpteur
blast furnace foreman|Contremaître du haut fourneau
blasted ore|Minerai explosé
blenny|Blenny
blessed giant rat|Rat géant béni Levele 1
blessed spider|Araignée bénie Levele Normal
blood blamish snail|Escargot sanglant
blood cloud|Nuage de sang
blood jaguar|Jaguar sanglant
blood moon|Lune de sang
blood reaver|Reaper sanglant
blood spawn|Progeniture sanglante
blood totem|Totem sanglant
bloodhound|Chien de sang
bloodthirst rockslug|Limace sanguinaire
bloodthirsty abomination|Abomination sanguinaire
bloodthirsty abyssal demon|Démon abyssal sanguinaire
bloodthirsty banshee|Banshee sanguinaire
bloodthirsty basilisk|Basilic sanguinaire
bloodthirsty basilisk sentinel|Sentinelle basilisk sanguinaire
bloodthirsty bloodveld|Bloodveld sanguinaire
bloodthirsty choke devil|Démon sanguinaire
bloodthirsty cockathrice|Cockathrice sanguinaire
bloodthirsty crawler|Rampeur sanguinaire
bloodthirsty drake|Drake sanguinaire
bloodthirsty gargoyle|Gargouille sanguinaire
bloodthirsty hand|Main sanguinaire
bloodthirsty hydra|Hydre sanguinaire
bloodthirsty infernal pyrelord|Seigneur pyre infernal sanguinaire
bloodthirsty jelly|Gelée sanguinaire
bloodthirsty kurask|Kurask sanguinaire
bloodthirsty mage|Mage sanguinaire
bloodthirsty mutated bloodveld|Bloodveld muté sanguinaire
bloodthirsty nechryarch|Nechryarch sanguinaire
bloodthirsty night beast|Bête nocturne sanguinaire
bloodthirsty pyrelord|Seigneur des flammes sanguinaire
bloodthirsty repugnant spectre|Spectre répugnant sanguinaire
bloodthirsty shadow wyrm|Wyrm de l'ombre sanguinaire
bloodthirsty smoke devil|Démon de fumée sanguinaire
bloodthirsty spectre|Spectre sanguinaire
bloodthirsty turoth|Turoth sanguinaire
bloodthirsty twisted banshee|Banshee tordue sanguinaire
bloodthirsty warped jelly|Gelée déformée sanguinaire
bloodveld|Bloodveld
bloodworm|Bloodworm
bloody wave|Vague sanglante
blue crab|Crabe bleu
blue dagannoth|Dagannoth bleu
blue dragon|Dragon bleu
blue h'ween mask|Masque bleu d'Halloween
blue monkey|Singe bleu
blue moon|Lune bleue
blue opal director|Directeur Blue Opal
blue opal secretary|Secrétaire Blue Opal
blue partyhat|Chapeau de fête bleu
blue sheep|Mouton bleu
blurberry|Blurberry
boar|Sanglier Levele 5
boar31337killer|Sanglier 31337Killer
boat|Bateau
bob|Bob
bob barter|Bob Barter
bob, another guard of falador|Bob, un autre garde de Falador
bobawu|Bobawu
bobbing fossil|Fossile flottant
bobby|Bobby
body golem|Golem corporel
bolkoy|Bolkoy
bologa|Bologa
bolongo|Bolongo
bonafido|Bonafido
boneguard|Boneguard
bones|Bones
bonzara|Bonzara
bonzo|Bonzo
boot|Boot
border guard|Garde-frontière
boris|Boris
bork sigmundson|Bork Sigmundson
borrokar|Borrokar
bosun zarah|Bosun Zarah
boulder|Roche
bouncer|Videur
bouquet mac hyacinth|Bouquet Mac Hyacinth
bow and arrow salesman|Vendeur d'arcs et de flèches
bowley moley|Bowley Moley
boy|Garçon
brain|Cerveau
brambickle|Brambickle
bran|Bran
brana|Brana
branda the fire queen|Branda, la reine du feu
branwen|Branwen
brass hand harry|Brass Hand Harry
brassican mage|Mage brassican
bravek|Bravek
brawler|Brawler
bree|Bree
breive|Breive
brendt|Brendt
breoca|Breoca
brew'ma|Brew'ma
brewer|Brewer
brian|Brian
brian o'richard|Brian O'Richard
briget|Briget
brikka|Brikka
brimstail|Brimstail
brine rat|Rat des marais
broav|Broav
broddi|Broddi
broken handz|Broken Handz
bronze dragon|Dragon de bronze
bronze eagle|Aigle de bronze
broodoo victim|Victime de Broodoo
brother aimeri|Frère Aimeri
brother althric|Frère Althric
brother brace|Frère Brace
brother cedric|Frère Cedric
brother jered|Frère Jered
brother kojo|Frère Kojo
brother maledict|Frère Maledict
brother omad|Frère Omad
brother tranquility|Frère Tranquility
brown engine director|Directeur Brown Engine
brown engine secretary|Secrétaire Brown Engine
brownie|Brownie
brugsen bursen|Brugsen Bursen
bruise blamish snail|Bruise Blamish Snail
brundt|Brundt
brundt the chieftain|Brundt le chef de tribu
brutal black dragon|Dragon noir brutal
brutal blue dragon|Dragon bleu brutal
brutal green dragon|Dragon vert brutal
brutal red dragon|Dragon rouge brutal
bryn|Bryn
bryophyta|Bryophyta
buffalo|Buffle
buffalo spirit|Esprit du buffle
bugs|Insectes
builder|Constructeur
buinn|Buinn
bull shark|Requin taureau
buneir|Buneir
bunkdo|Bunkdo
bunkwicket|Bunkwicket
bunny|Lapin Levele 1
bunny ears|Oreilles de lapin
buoy|Bouée
burkor|Burkor
burning orb|Orbe brûlant
burntmeat|Viande brûlée
burntof|Burntof
bush snake|Serpent des buissons
butch|Butch
butler|Majordome
butler jarvis|Majordome Jarvis
butler jones|Majordome Jones
butterfly|Papillon
butterfly ray|Raie papillon
c0lect0r890|C0lect0r890
c4ssi4n|C4ssi4n
cabbage farmer|Cultivateur de choux
cabin boy|Mousse
cabin boy colin|Mousse Colin
cabin boy herbert|Mousse Herbert
cabin boy jenkins|Mousse Jenkins
cabin boy percy|Mousse Percy
caden azro|Caden Azro
caerwyn|Caerwyn
caique|Caique
caius|Caius
caleb|Caleb
calin|Calin
callio|Callio
callisto|Callisto
callisto cub|Callisto cub
calvar'ion|Calvar'ion
cam the camel|Cam le chameau
camarst|Camarst
camel|Chameau
camel display|Exposition de chameaux
camorra|Camorra
camp dweller|Habitant du camp
candle maker|Fabricant de bougies
candle seller|Vendeur de bougies
caninelle draynar|Caninelle Draynar
cannoneer|Canonnier
canyoucratchit|CanYouCratchit
cap'n anne boney|Capitaine Anne Boney
cap'n hand|Capitaine Hand
cap'n izzy no-beard|Capitaine Izzy No-Beard
capt' arnav|Capitaine Arnav
captain|Capitaine
captain ada|Capitaine Ada
captain ariadna|Capitaine Ariadna
captain barnaby|Capitaine Barnaby
captain bentley|Capitaine Bentley
captain bleemadge|Capitaine Bleemadge
captain braindeath|Capitaine Braindeath
captain bruce|Capitaine Bruce
captain cain|Capitaine Cain
captain campbell|Capitaine Campbell
captain cleive|Capitaine Cleive
captain cotus|Capitaine Cotus
captain daerkin|Capitaine Daerkin
captain dalbur|Capitaine Dalbur
captain darvald|Capitaine Darvald
captain dawson|Capitaine Dawson
captain donnie|Capitaine Donnie
captain dudi|Capitaine Dudi
captain emmemji|Capitaine Emmemji
captain errdo|Capitaine Errdo
captain ginea|Capitaine Ginea
captain janaway|Capitaine Janaway
captain jim|Capitaine Jim
captain kalt|Capitaine Kalt
captain khaled|Capitaine Khaled
captain klemfoodle|Capitaine Klemfoodle
captain lamdoo|Capitaine Lamdoo
captain lawgof|Capitaine Lawgof
captain maclean|Capitaine Maclean
captain magoro|Capitaine Magoro
captain malleta|Capitaine Malleta
captain ninto|Capitaine Ninto
captain pudi|Capitaine Pudi
captain rachelle|Capitaine Rachelle
captain reuben|Capitaine Reuben
captain rimor|Capitaine Rimor
captain rovin|Capitaine Rovin
captain sdiar|Capitaine Sdiar
captain shanks|Capitaine Shanks
captain shoracks|Capitaine Shoracks
captain siad|Capitaine Siad
captain tobias|Capitaine Tobias
captain tock|Capitaine Tock
captain tom|Capitaine Tom
captain vibia|Capitaine Vibia
capybara|Capybara
capybara pup|Bébé capybara
carado|Carado
caranthir|Caranthir
caritta|Caritta
carl|Carl
carla|Carla
carnivorous chinchompa|Chinchompa carnivore
carnivus belamorta|Carnivus Belamorta
carol|Carol
caroline|Caroline
carpenter|Charpentier
carpenter kjallak|Charpentier Kjallak
cart camel|Chameau de charrette
cart conductor|Conducteur de chariot
cassie|Cassie
cassim|Cassim
cassius|Cassius
castaway|Naufragé Levele 1, chien, à la dérive
cat|Chat
catablepon|Catablepon
catalina|Catalina
catalyst|Catalyseur
catalytic guardian|Gardien catalytique
catherby monodon|Monodon de Catherby
cave abomination|Abomination des cavernes
cave bug|Insecte des cavernes
cave bug larva|Larve d'insecte des cavernes
cave crawler|Rampeur des cavernes
cave goblin|Gobelin des cavernes
cave goblin child|Enfant gobelin des cavernes
cave goblin guard|Garde gobelin des cavernes
cave goblin miner|Mineur gobelin des cavernes
cave goblin worker|Ouvrier gobelin des cavernes
cave horror|Horreur des cavernes Levele Alpha
cave kraken|Kraken des cavernes Levele Kraken des cavernes
cave lizard|Lézard des cavernes
cave monk|Moine des cavernes
cave scenery|Paysage de grotte
cave slime|Slime des cavernes
cave snake|Serpent des cavernes
cavemouth|Cavemouth
cavey davey|Cavey Davey
cecilia|Cecilia
celebrian|Celebrian
celegorm|Celegorm
celyn|Celyn
centaur|Centaure Levele Femme
ceolburg|Ceolburg
cerberus|Cerberus
cerebral pathbreaker|Pionnier cérébral
cerebral pathfinder|Explorateur cérébral
ceril carnillean|Ceril Carnillean
cerulean twitch|Cerulean twitch
ceto|Ceto
chadwell|Chadwell
chaeldar|Chaeldar
chair|Chaise
chamber guardian|Gardien de la chambre
chameleon|Caméléon
champion of scabaras|Champion de Scabaras
chancellor hassan|Chancelier Hassan
chancy|Chancy
chaos druid|Druide du chaos
chaos druid warrior|Guerrier druide du chaos
chaos dwarf|Nain du chaos
chaos elemental|Élémentaire du chaos
chaos fanatic|Fanatique du chaos
chaos golem|Golem du chaos
chaotic death spawn|Progeniture de la mort chaotique
charles|Charles
charles charlington|Charles Charlington
charles charlington ii|Charles Charlington II
charley|Charley
charlie|Charlie
charlie the cook|Charlie le cuisinier
charlie the tramp|Charlie le clochard
charliechimes06|CharlieChimes06
charmed warrior|Guerrier enchanté
chartin' charles mcatless|Chartin' Charles McAtless
chasm crawler|Chasm Crawler
checkal|Checkal
cheerleader|Pom-pom girl
chef|Chef
chef olivia|Chef Olivia
chemist|Chimiste
cheryl|Cheryl
chet|Chet
chicken|Poulet
chicken suit|Costume de poulet
chief engineer greyson|Ingénieur en chef Greyson
chief servant|Serviteur en chef
chief tess|Chef Tess
child|Enfant
chilled jelly|Gelée glacée
chimalli|Chimalli
chinchompa|Chinchompa
chinchompa chum|Chinchompa chum
chiribaya|Chiribaya Levele 1
choke devil|Choke devil
chompy bird|Chompy bird
chompy chick|Chompy chick
chosen aluinus|Chosen Aluinus
chouani|Chouani
chris|Chris
christina kebbit-monkfish|Christina Kebbit-Monkfish
christmas cracker|Christmas cracker
chronozon|Chronozon
chuck|Chuck
chuck up|Chuck up
cirdan|Cirdan
citizen|Citoyen
citlalli|Citlalli
city guard|Garde municipal
civilian|Civil Levele 1
clan guard|Garde du clan
clanila|Clanila
clarence|Clarence
claude|Claude
claus the chef|Claus le chef cuisinier
clay golem|Golem d'argile
cleaner|Nettoyeur
cleddyf|Cleddyf
clerk|Commis
clerris|Clerris
clivet|Clivet
clodius|Clodius
clothears|Clothears
clue turtle|Clue turtle
co-ordinator|Co-ordinator
coal|Coal
cob|Cob
cobado|Cobado
cochu|Cochu
cockathrice|Cockathrice
cockatrice|Cockatrice
cockroach|Cockroach
cocktail seller|Vendeur de cocktails
coenus|Coenus
col. o'niall|Col. O'Niall
colonel grimsson|Colonel Grimsson
colonel radick|Colonel Radick
colossal chocco chicken|Poulet Chocco colossal
colossal hydra|Hydre colossale
colosseum announcer|Annonceur du Colisée
combat dummy|Mannequin d'entraînement
combat stone|Pierre de combat
combat test|Test de combat Levele 1 Coup maximal
commander|Commandant
commander connad|Commandant Connad
commander fullore|Commandant Fullore
commander montai|Commandant Montai
commander veldaban|Commandant Veldaban
commander zilyana|Commandant Zilyana
commissioner anwar|Commissaire Anwar
competition judge|Juge de compétition
conara|Conara
concerned man|Homme inquiet
confused barbarian|Barbare confus
confusion beast|Bête de la confusion
conrad king|Conrad King
constantinius|Constantinius
construction worker|Ouvrier du bâtiment
conwenna|Conwenna
cook|Cuisinier
cooking tutor|Professeur de cuisine
cooky weasel|Cooky Weasel
cool mom227|Cool Mom227
copper longtail|Queue longue en cuivre
copper ore|Minerai de cuivre
core|Noyau
corkat quo sihar|Corkat quo Sihar
cormorant|Cormoran
cornelius|Cornelius
corporeal beast|Bête corporelle
corpse|Cadavre
corrupt lizardman|Hommes-lézards corrompus
corrupted bat|Chauve-souris corrompue
corrupted bear|Ours corrompu
corrupted dark beast|Bête noire corrompue
corrupted dragon|Dragon corrompu
corrupted hunllef|Hunllef corrompu
corrupted rat|Rat corrompu
corrupted scavenger|Charognard corrompu
corrupted scorpion|Scorpion corrompu
corrupted spider|Araignée corrompue
corrupted unicorn|Licorne corrompue
corrupted warrior|Guerrier corrompu
corrupted wolf|Loup corrompu
corsair traitor|Traître corsaire
cosmic being|Être cosmique
costumed child|Enfant déguisé
costumer|Costumier
council workman|Ouvrier du conseil
councillor andrews|Conseiller Andrews
councillor catherine|Conseillère Catherine
councillor halgrive|Conseiller Halgrive
councillor orson|Conseiller Orson
councillor unkar|Conseiller Unkar
count check|Comte Check
count draynor|Comte Draynor
court judge|Juge
cow|Vache
cow calf|Veau
cow31337killer|Vache31337Killer
cowardly bandit|Bandit lâche
cozyac|Cozyac
crab|Crabe
crafting tutor|Tuteur d'artisanat
crandor shark|Requin de Crandor
crate|Caisse
crate goblin|Gobelin des caisses
crawling hand|Main rampante
crazy archaeologist|Archéologue fou
creakyknees|Creakyknees
crefydd|Crefydd
crew registrar|Registreur d'équipage
crimson sanguisphera|Sanguisphera cramoisie
crimson swift|Swift cramoisi
crimsonette van marr|Crimsonette van Marr
crocodile|Crocodile
crondis|Crondis
crone|Vieille sorcière
crow|Corbeau
crunchy|Crunchy
cruor|Cruor
crusher|Broyeur
crushing hand|Main écrasante
crust of ice|Croûte de glace
crypt rat|Rat des cryptes
crypt spider|Araignée des cryptes
crystal impling|Impling de cristal
crystal whirlwind|Tourbillon de cristal
crystalline bat|Chauve-souris cristalline
crystalline bear|Ours cristallin
crystalline dark beast|Bête noire cristalline
crystalline dragon|Dragon cristallin
crystalline hunllef|Hunllef cristallin
crystalline rat|Rat cristallin
crystalline scorpion|Scorpion cristallin
crystalline spider|Araignée cristalline
crystalline unicorn|Licorne cristalline
crystalline wolf|Loup cristallin
crystallised helm|Casque cristallisé
cuali, teoki of ralos|Cuali, Teoki de Ralos
cuffs|Menottes
cuica|Cuica
culinaromancer|Culinaromancer
cultist|Cultiste Levele 1
curator haig halen|Conservateur Haig Halen
curator herminius|Conservateur Herminius
curly|Curly
curpile fyod|Curpile Fyod
current duck|Canard actuel
cursed baboon|Babouin maudit
curufin|Curufin
customer|Client
customs officer|Douanier
cute creature|Créature mignonne
cuthbert|Cuthbert
cyclops|Cyclope
cyreg paddlehorn|Cyreg Paddlehorn
cyrisus|Cyrisus
d3ad1i f15her|D3ad1i F15her
da vinci|Da Vinci
dad|Dad
daddy's special water|L'eau spéciale de papa
daer krand|Daer Krand
daero|Daero
daga|Daga
dagannoth|Dagannoth
dagannoth fledgeling|Dagannoth novice
dagannoth mother|Dagannoth mère
dagannoth prime|Dagannoth Prime
dagannoth rex|Dagannoth Rex
dagannoth spawn|Dagannoth spawn
dagannoth supreme|Dagannoth suprême
dakh'thoulan aegis|Dakh'thoulan Aegis
dalal|Dalal
dalcian fang|Dalcian Fang
dale|Dale
dalila|Dalila
dallas jones|Dallas Jones
dalldav|Dalldav
dalna|Dalna
damien leucurte|Damien Leucurte
damis|Damis
dampe|Dampe
damwin|Damwin
dantaera|Dantaera
darcor quo narga|Darcor quo Narga
