Hello?|Allô ?
Observe a specific party The player can observe a specific party.|Observer un groupe spécifique Le joueur peut observer un groupe spécifique.
The player can observe a specific party.|Le joueur peut observer un groupe spécifique.
Observe recent party The player can observe a recent party.|Observer un groupe récent Le joueur peut observer un groupe récent.
The player can observe a recent party.|Le joueur peut observer un groupe récent.
I'll leave you be.|Je te laisse tranquille.
[House owner] killed an abyssal demon! Cool!|[Propriétaire de la maison] a tué un démon abyssal ! Cool !
Cool for [him/her] maybe. How would you like to be stuck on a wall?|Cool pour [lui/elle] peut-être. Aimeriez-vous être coincé sur un mur ?
Have you considered visiting THE ABYSS ?|Avez-vous envisagé de visiter THE ABYSS ?
I visit the abyss all the time!|Je visite l'abîme tout le temps !
I bet you just rush through it though. Everyone there is in such a rush. No one stops to appreciate the beauty of THE ABYSS .|Mais je parie que tu te contentes de le traverser à toute vitesse. Tout le monde est tellement pressé là-bas. Personne ne s'arrête pour apprécier la beauté de L'ABYSSE.
I have to run through it quickly or I'll die!|Je dois le traverser rapidement ou je mourrai !
Death is a small thing compared to the beauty of THE ABYSS .|La mort n'est rien comparée à la beauté de L'ABYSSE.
The abyss looks pretty ugly to me.|L'abîme me semble plutôt laid.
Poor deluded fool. There is no hope for you at all.|Pauvre imbécile aveuglé. Il n'y a aucun espoir pour toi.
It's too scary for me!|C'est trop effrayant pour moi !
But does not the fear contribute to your appreciation of THE ABYSS ?|Mais la peur ne contribue-t-elle pas à votre appréciation de L'ABYSSE ?
No, it's just scary.|Non, c'est juste effrayant.
Poor human. You must not judge THE ABYSS by the standards of this world. You must learn to embrace your fear as part of the experience of THE ABYSS .|Pauvre humain. Vous ne devez pas juger L'ABYSSE selon les normes de ce monde. Vous devez apprendre à accepter votre peur comme faisant partie de l'expérience de L'ABYSSE.
I suppose fear does heighten the senses.|Je suppose que la peur aiguise les sens.
Then you should enhance them further by raising the stakes. Next time you go to THE ABYSS you should take all your most valuable items with you.|Alors vous devriez les améliorer encore en augmentant les enjeux. La prochaine fois que tu iras dans L'ABYSSE, tu devrais emporter tous tes objets les plus précieux.
Could I get an abyssal whip?|Pourrais-je obtenir un fouet abyssal ?
You must take all your gold and all your most valued items, and take them into THE ABYSS without weapons or armour.|Tu dois prendre tout ton or et tous tes objets les plus précieux, et les emporter dans L'ABYSSE sans armes ni armure.
And then will I get an abyssal whip?|Et ensuite, j'obtiendrai un fouet abyssal ?
You'll get an ABYSSAL WHIPPING !|Tu obtiendras un FOUET ABYSSAL !
That pun was abyssmal.|Ce jeu de mots était abyssal.
Are you sure you wish to feed the [current leech name] your [item name]?|Êtes-vous sûr de vouloir donner votre [nom de l'objet] à [nom actuel de la sangsue] ?
Feed the [current leech name] your [item name]?|Donner votre [nom de l'objet] à [nom actuel de la sangsue] ?
Really feed the [current leech name] your [item name]?|Vraiment donner votre [nom de l'objet] à [nom actuel de la sangsue] ?
*noms [item name]*|*mange [nom de l'objet]*
The leech isn't interested in that.|La sangsue n'est pas intéressée par ça.
Hello there.|Bonjour.
Nilsal! Welcome to the Grand Museum.|Nilsal ! Bienvenue au Grand Musée.
Hello there! Hope you're enjoying the museum.|Bonjour ! J'espère que vous appréciez le musée.
Sorry, I'd love to stop and talk, but I have some studying to do.|Désolé, j'aimerais bien m'arrêter pour discuter, mais j'ai des études à faire.
Have you seen the new Old One display? Fascinating stuff!|Avez-vous vu la nouvelle exposition sur les Anciens ? C'est fascinant !
Isn't this place wonderful? There's just so much knowledge to be found!|Cet endroit n'est-il pas merveilleux ? Il y a tellement de connaissances à découvrir !
Hello there. How's it going?|Bonjour. Comment ça va ?
Sorry, but I'm busy right now.|Désolé, je suis occupé pour le moment.
Hello there. Thanks again for helping with Bumpty Numpty.|Bonjour. Merci encore de m'avoir aidé avec Bumpty Numpty.
Always happy to help, iknami.|Je suis toujours ravi de vous aider, iknami.
Hello. Who are you?|Bonjour. Qui êtes-vous ?
I'm the Account Guide. I'm here to tell you about your account.|Je suis le guide des comptes. Je suis là pour vous parler de votre compte.
What's an account?|Qu'est-ce qu'un compte ?
Your character IS your account! It's what you are using to play the game right now. Everyone here has one and some people even have multiple!|Votre personnage EST votre compte ! C'est ce que vous utilisez pour jouer au jeu en ce moment. Tout le monde ici en a un, et certaines personnes en ont même plusieurs !
There’s various things you can do with your account which is where the Account Management menu comes into play. Let’s take a look at it now.|Vous pouvez faire différentes choses avec votre compte, c'est là que le menu Gestion du compte entre en jeu. Jetons-y un œil.
As you can see, there's a few things you can do with your account.|Comme vous pouvez le voir, vous pouvez faire plusieurs choses avec votre compte.
First, you have membership. All accounts are free to play by default but if you desire, you can buy membership to unlock members' worlds. These worlds give you access to extra skills, areas, quests, and more!|Tout d'abord, vous avez l'abonnement. Tous les comptes sont gratuits par défaut, mais si vous le souhaitez, vous pouvez acheter un abonnement pour débloquer les mondes réservés aux membres. Ces mondes vous donnent accès à des compétences, des zones, des quêtes supplémentaires et bien plus encore !
What's a world?|Qu'est-ce qu'un monde ?
A world is what you play the game on. Most worlds can hold up to 2000 players. They are split into two main types: free worlds and members' worlds. You can swap worlds with the World Switcher in the Logout menu.|Un monde est l'endroit où vous jouez au jeu. La plupart des mondes peuvent accueillir jusqu'à 2 000 joueurs. Ils se divisent en deux types principaux : les mondes gratuits et les mondes réservés aux membres. Vous pouvez changer de monde à l'aide du sélecteur de monde dans le menu Déconnexion.
You are currently on a free world. If you want to switch to a members’ world and enjoy all of the benefits, you’ll need to purchase membership. You can do so using the store in the Account Management menu.|Vous êtes actuellement dans un monde gratuit. Si vous souhaitez passer à un monde réservé aux membres et profiter de tous les avantages, vous devez acheter un abonnement. Vous pouvez le faire via la boutique dans le menu Gestion du compte.
You are currently on a members' world so you already have access to everything that being a member has to offer. Enjoy!|Vous êtes actuellement dans un monde réservé aux membres, vous avez donc déjà accès à tous les avantages offerts aux membres. Profitez-en !
Bonds are another thing that you should know about. You can purchase Bonds from the store in the Account Management menu. Once you have some Bonds, you can redeem them for membership!|Les obligations sont un autre élément que vous devez connaître. Vous pouvez acheter des obligations dans la boutique du menu Gestion du compte. Une fois que vous avez des obligations, vous pouvez les échanger contre un abonnement !
But why would I use a Bond instead of just buying membership normally?|Mais pourquoi utiliserais-je un bon plutôt que d'acheter un abonnement normalement ?
Unlike membership, Bonds can be traded with other players. You could purchase a Bond and then sell it to another player for some gold. Alternatively, you could use your gold to buy a Bond from another player!|Contrairement à l'abonnement, les bons peuvent être échangés avec d'autres joueurs. Vous pouvez acheter un bon, puis le revendre à un autre joueur contre de l'or. Vous pouvez également utiliser votre or pour acheter un bon à un autre joueur !
So if I used my gold to buy a Bond from another player, I could get membership without spending any real money?|Donc, si j'utilise mon or pour acheter un bon à un autre joueur, je peux obtenir un abonnement sans dépenser d'argent réel ?
Exactly!|Exactement !
Next up, you have your inbox and name changer. The inbox is where you’ll receive important information related to your account and the game. Be sure to keep an eye on it.|Ensuite, vous avez votre boîte de réception et votre changeur de nom. La boîte de réception est l'endroit où vous recevrez des informations importantes concernant votre compte et le jeu. Veillez à la consulter régulièrement.
The name changer allows you to change your display name if you don't like your current one. Be aware though that this is only available to accounts with membership.|Le changeur de nom vous permet de modifier votre nom d'affichage si vous n'aimez pas celui que vous avez actuellement. Sachez toutefois que cette fonction n'est disponible que pour les comptes disposant d'un abonnement.
Finally, the bottom of the menu has some links which you might find useful. Make sure you check them out at some point.|Enfin, en bas du menu, vous trouverez quelques liens qui pourraient vous être utiles. N'hésitez pas à les consulter.
Awesome. Is there anything else I should know about accounts?|Super. Y a-t-il autre chose que je devrais savoir au sujet des comptes ?
Your account is very valuable and it's important you look after it. Various tools can help with this, such as Bank PINs and two-factor authentication options.|Votre compte est très précieux et il est important que vous en preniez soin. Divers outils peuvent vous y aider, tels que les codes PIN bancaires et les options d'authentification à deux facteurs.
You'll find more information on account security on the Customer Support webpage. You can use the Useful Links section of the Account Management menu to get there.|Vous trouverez plus d'informations sur la sécurité des comptes sur la page Web du service clientèle. Vous pouvez utiliser la section Liens utiles du menu Gestion du compte pour y accéder.
Anyway, that's everything I have to tell you about accounts. Let me know if you need a recap, otherwise head on to your next instructor.|Voilà, c'est tout ce que j'avais à vous dire sur les comptes. Faites-moi savoir si vous avez besoin d'un récapitulatif, sinon passez au prochain instructeur.
Hello. Would you like to hear about your account again?|Bonjour. Souhaitez-vous en savoir plus sur votre compte ?
Yes!|Oui !
Excellent. Well there's a few things you can do with your account.|Parfait. Vous pouvez faire plusieurs choses avec votre compte.
